key,id,name,type,variable,value,year,crime_type,place_name
1600000US0662000--2006--Motor vehicle theft--rate,1600000US0662000,"Riverside, California",place,rate,828.1573498964804,2006,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2007--Violent crime--count,1600000US0662000,"Riverside, California",place,count,1893.0,2007,Violent crime,"Riverside, CA"
1600000US0662000--2007--Murder and nonnegligent manslaughter--rate,1600000US0662000,"Riverside, California",place,rate,4.009194419201369,2007,Murder and nonnegligent manslaughter,"Riverside, CA"
1600000US0662000--2008--Violent crime--rate,1600000US0662000,"Riverside, California",place,rate,641.9848756112551,2008,Violent crime,"Riverside, CA"
1600000US0662000--2014--Violent crime--rate,1600000US0662000,"Riverside, California",place,rate,433.24057060037,2014,Violent crime,"Riverside, CA"
1600000US0662000--2010--Motor vehicle theft--rate,1600000US0662000,"Riverside, California",place,rate,484.00080832441637,2010,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2009--All Crimes--rate,1600000US0662000,"Riverside, California",place,rate,7446.201866802725,2009,All Crimes,"Riverside, CA"
1600000US0662000--2012--All Crimes--rate,1600000US0662000,"Riverside, California",place,rate,7807.496523480857,2012,All Crimes,"Riverside, CA"
1600000US0662000--2006--Arson--rate,1600000US0662000,"Riverside, California",place,rate,44.75602839787084,2006,Arson,"Riverside, CA"
1600000US0662000--2007--Larceny--count,1600000US0662000,"Riverside, California",place,count,7081.0,2007,Larceny,"Riverside, CA"
1600000US0662000--2012--Arson--count,1600000US0662000,"Riverside, California",place,count,65.0,2012,Arson,"Riverside, CA"
1600000US0662000--2013--Violent crime--count,1600000US0662000,"Riverside, California",place,count,1330.0,2013,Violent crime,"Riverside, CA"
1600000US0662000--2007--Motor vehicle theft--count,1600000US0662000,"Riverside, California",place,count,1846.0,2007,Motor vehicle theft,"Riverside, CA"
1600000US0662000--2014--Property crime--count,1600000US0662000,"Riverside, California",place,count,9864.0,2014,Property crime,"Riverside, CA"
1600000US0662000--2008--Arson--count,1600000US0662000,"Riverside, California",place,count,125.0,2008,Arson,"Riverside, CA"
