name,type,variable,value,year,crime_type
"Riverside, California",place,rate,4.228426082,2011,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,246.6716544,2014,Aggravated assault
"Riverside, California",place,rate,542.944097,2013,Motor vehicle theft
"Riverside, California",place,rate,7433.511626,2015,All Crimes
"Riverside, California",place,rate,7433.511626,2015,All Crimes
"Riverside, California",place,rate,2211.326548,2015,Larceny
"Riverside, California",place,rate,2211.326548,2015,Larceny
"Riverside, California",place,rate,606.6352456,2016,Burglary
"Riverside, California",place,rate,2256.854948,2016,Larceny
"Riverside, California",place,rate,160.9588193,2015,Robbery
"Riverside, California",place,rate,160.9588193,2015,Robbery
"Riverside, California",place,rate,542.926479,2015,Motor vehicle theft
"Riverside, California",place,rate,542.926479,2015,Motor vehicle theft
"Riverside, California",place,rate,43.26533618,2016,Rape (revised definition)
"Riverside, California",place,rate,239.5810118,2015,Aggravated assault
"Riverside, California",place,rate,239.5810118,2015,Aggravated assault
"Riverside, California",place,rate,529.0031176,2016,Violent crime
"Riverside, California",place,rate,21.97706956,2015,Arson
"Riverside, California",place,rate,21.97706956,2015,Arson
"Riverside, California",place,rate,302.8573533,2016,Aggravated assault
"Riverside, California",place,rate,3259.725627,2015,Property crime
"Riverside, California",place,rate,3259.725627,2015,Property crime
"Riverside, California",place,rate,179.8119646,2016,Robbery
"Riverside, California",place,rate,593.4408523,2016,Motor vehicle theft
"Riverside, California",place,rate,17.49024229,2016,Arson
"Riverside, California",place,rate,3456.931045,2016,Property crime
"Riverside, California",place,rate,7989.358568,2016,All Crimes
"Riverside, California",place,rate,42.40645816,2015,Rape (revised definition)
"Riverside, California",place,rate,42.40645816,2015,Rape (revised definition)
"Riverside, California",place,rate,3.068463559,2016,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,505.4725999,2015,Burglary
"Riverside, California",place,rate,505.4725999,2015,Burglary
"Riverside, California",place,rate,446.0416512,2015,Violent crime
"Riverside, California",place,rate,446.0416512,2015,Violent crime
"Riverside, California",place,rate,2.981524487,2010,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,3.160326525,2013,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,3.756421132,2014,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,3.09536191,2015,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,3.09536191,2015,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,5.103147366,2012,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,50.60620749,2017,Rape (revised definition)
"Riverside, California",place,rate,508.805785,2017,Violent crime
"Riverside, California",place,rate,107156.5104,2017,All Crimes
"Riverside, California",place,rate,288.699268,2017,Aggravated assault
"Riverside, California",place,rate,527.4020419,2017,Motor vehicle theft
"Riverside, California",place,rate,22.25453703,2017,Arson
"Riverside, California",place,rate,3058.32213,2017,Property crime
"Riverside, California",place,rate,3.65828006,2017,Murder and nonnegligent manslaughter
"Riverside, California",place,rate,510.0252116,2017,Burglary
