key,id,name,type,variable,value,year,crime_type,place_name
1600000US0816000--2012--Robbery--count,1600000US0816000,"Colorado Springs, Colorado",place,count,523,2012,Robbery,"Colorado Springs, CO"
1600000US0816000--2012--Property crime--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4140.536264,2012,Property crime,"Colorado Springs, CO"
1600000US0816000--2012--Property crime--count,1600000US0816000,"Colorado Springs, Colorado",place,count,17899,2012,Property crime,"Colorado Springs, CO"
1600000US0816000--2012--Murder and nonnegligent manslaughter--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,4.163900372,2012,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2012--Murder and nonnegligent manslaughter--count,1600000US0816000,"Colorado Springs, Colorado",place,count,18,2012,Murder and nonnegligent manslaughter,"Colorado Springs, CO"
1600000US0816000--2012--Motor vehicle theft--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,416.8526928,2012,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2012--Motor vehicle theft--count,1600000US0816000,"Colorado Springs, Colorado",place,count,1802,2012,Motor vehicle theft,"Colorado Springs, CO"
1600000US0816000--2012--Larceny--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,2881.419057,2012,Larceny,"Colorado Springs, CO"
1600000US0816000--2012--Larceny--count,1600000US0816000,"Colorado Springs, Colorado",place,count,12456,2012,Larceny,"Colorado Springs, CO"
1600000US0816000--2012--Forcible rape--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,82.81535184,2012,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2012--Forcible rape--count,1600000US0816000,"Colorado Springs, Colorado",place,count,358,2012,Forcible rape,"Colorado Springs, CO"
1600000US0816000--2012--Burglary--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,842.2645141,2012,Burglary,"Colorado Springs, CO"
1600000US0816000--2012--Burglary--count,1600000US0816000,"Colorado Springs, Colorado",place,count,3641,2012,Burglary,"Colorado Springs, CO"
1600000US0816000--2012--Arson--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,17.58091268,2012,Arson,"Colorado Springs, CO"
1600000US0816000--2012--Arson--count,1600000US0816000,"Colorado Springs, Colorado",place,count,76,2012,Arson,"Colorado Springs, CO"
1600000US0816000--2012--All Crimes--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,9209.159656,2012,All Crimes,"Colorado Springs, CO"
1600000US0816000--2012--All Crimes--count,1600000US0816000,"Colorado Springs, Colorado",place,count,39810,2012,All Crimes,"Colorado Springs, CO"
1600000US0816000--2012--Aggravated assault--rate,1600000US0816000,"Colorado Springs, Colorado",place,rate,247.2894165,2012,Aggravated assault,"Colorado Springs, CO"
