key,id,name,type,variable,value,year,crime_type,place_name
1600000US4827000--2011--Violent crime--count,1600000US4827000,"Fort Worth, Texas",place,count,4569.0,2011,Violent crime,"Fort Worth, TX"
1600000US4827000--2006--Forcible rape--count,1600000US4827000,"Fort Worth, Texas",place,count,247.0,2006,Forcible rape,"Fort Worth, TX"
1600000US4827000--2010--Violent crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,575.1353436946115,2010,Violent crime,"Fort Worth, TX"
1600000US4827000--2010--Property crime--count,1600000US4827000,"Fort Worth, Texas",place,count,35090.0,2010,Property crime,"Fort Worth, TX"
1600000US4827000--2010--Murder and nonnegligent manslaughter--rate,1600000US4827000,"Fort Worth, Texas",place,rate,8.440141312080254,2010,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2006--Robbery--count,1600000US4827000,"Fort Worth, Texas",place,count,1417.0,2006,Robbery,"Fort Worth, TX"
1600000US4827000--2010--Murder and nonnegligent manslaughter--count,1600000US4827000,"Fort Worth, Texas",place,count,63.0,2010,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2006--Violent crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,655.8608309752052,2006,Violent crime,"Fort Worth, TX"
1600000US4827000--2013--Burglary--count,1600000US4827000,"Fort Worth, Texas",place,count,8316.0,2013,Burglary,"Fort Worth, TX"
1600000US4827000--2012--Arson--count,1600000US4827000,"Fort Worth, Texas",place,count,118.0,2012,Arson,"Fort Worth, TX"
1600000US4827000--2013--Larceny--rate,1600000US4827000,"Fort Worth, Texas",place,rate,2985.545634857769,2013,Larceny,"Fort Worth, TX"
1600000US4827000--2012--Larceny--count,1600000US4827000,"Fort Worth, Texas",place,count,21648.0,2012,Larceny,"Fort Worth, TX"
1600000US4827000--2013--Motor vehicle theft--rate,1600000US4827000,"Fort Worth, Texas",place,rate,304.0422794933052,2013,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2010--Burglary--count,1600000US4827000,"Fort Worth, Texas",place,count,9352.0,2010,Burglary,"Fort Worth, TX"
1600000US4827000--2012--All Crimes--rate,1600000US4827000,"Fort Worth, Texas",place,rate,9634.320693000009,2012,All Crimes,"Fort Worth, TX"
1600000US4827000--2010--Motor vehicle theft--count,1600000US4827000,"Fort Worth, Texas",place,count,2464.0,2010,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2008--Property crime--count,1600000US4827000,"Fort Worth, Texas",place,count,35325.0,2008,Property crime,"Fort Worth, TX"
1600000US4827000--2008--Murder and nonnegligent manslaughter--count,1600000US4827000,"Fort Worth, Texas",place,count,49.0,2008,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2012--Larceny--rate,1600000US4827000,"Fort Worth, Texas",place,rate,2811.059847993964,2012,Larceny,"Fort Worth, TX"
1600000US4827000--2011--Property crime--count,1600000US4827000,"Fort Worth, Texas",place,count,35117.0,2011,Property crime,"Fort Worth, TX"
1600000US4827000--2009--Property crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,4960.080502477,2009,Property crime,"Fort Worth, TX"
1600000US4827000--2011--Property crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,4640.17716631673,2011,Property crime,"Fort Worth, TX"
1600000US4827000--2013--Arson--count,1600000US4827000,"Fort Worth, Texas",place,count,155.0,2013,Arson,"Fort Worth, TX"
1600000US4827000--2012--Aggravated assault--rate,1600000US4827000,"Fort Worth, Texas",place,rate,364.75735000993376,2012,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2007--Robbery--rate,1600000US4827000,"Fort Worth, Texas",place,rate,241.5412118510257,2007,Robbery,"Fort Worth, TX"
1600000US4827000--2006--Arson--count,1600000US4827000,"Fort Worth, Texas",place,count,233.0,2006,Arson,"Fort Worth, TX"
1600000US4827000--2009--All Crimes--count,1600000US4827000,"Fort Worth, Texas",place,count,80442.0,2009,All Crimes,"Fort Worth, TX"
1600000US4827000--2007--Motor vehicle theft--rate,1600000US4827000,"Fort Worth, Texas",place,rate,400.33219371605185,2007,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2011--Arson--rate,1600000US4827000,"Fort Worth, Texas",place,rate,18.89527393522489,2011,Arson,"Fort Worth, TX"
1600000US4827000--2007--Aggravated assault--rate,1600000US4827000,"Fort Worth, Texas",place,rate,366.9339026946755,2007,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2013--Aggravated assault--count,1600000US4827000,"Fort Worth, Texas",place,count,2593.0,2013,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2012--Burglary--count,1600000US4827000,"Fort Worth, Texas",place,count,8442.0,2012,Burglary,"Fort Worth, TX"
1600000US4827000--2007--Violent crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,667.0712233465982,2007,Violent crime,"Fort Worth, TX"
1600000US4827000--2007--Arson--rate,1600000US4827000,"Fort Worth, Texas",place,rate,33.845589561841265,2007,Arson,"Fort Worth, TX"
1600000US4827000--2007--Burglary--rate,1600000US4827000,"Fort Worth, Texas",place,rate,1343.0884175024935,2007,Burglary,"Fort Worth, TX"
1600000US4827000--2009--Arson--count,1600000US4827000,"Fort Worth, Texas",place,count,210.0,2009,Arson,"Fort Worth, TX"
1600000US4827000--2009--Burglary--count,1600000US4827000,"Fort Worth, Texas",place,count,10188.0,2009,Burglary,"Fort Worth, TX"
1600000US4827000--2013--Arson--rate,1600000US4827000,"Fort Worth, Texas",place,rate,19.644248987687487,2013,Arson,"Fort Worth, TX"
1600000US4827000--2011--Arson--count,1600000US4827000,"Fort Worth, Texas",place,count,143.0,2011,Arson,"Fort Worth, TX"
1600000US4827000--2009--Forcible rape--count,1600000US4827000,"Fort Worth, Texas",place,count,370.0,2009,Forcible rape,"Fort Worth, TX"
1600000US4827000--2010--Larceny--count,1600000US4827000,"Fort Worth, Texas",place,count,23274.0,2010,Larceny,"Fort Worth, TX"
1600000US4827000--2010--All Crimes--count,1600000US4827000,"Fort Worth, Texas",place,count,78904.0,2010,All Crimes,"Fort Worth, TX"
1600000US4827000--2008--Larceny--rate,1600000US4827000,"Fort Worth, Texas",place,rate,3359.5448744911564,2008,Larceny,"Fort Worth, TX"
1600000US4827000--2010--Forcible rape--rate,1600000US4827000,"Fort Worth, Texas",place,rate,42.602618051452716,2010,Forcible rape,"Fort Worth, TX"
1600000US4827000--2006--Arson--rate,1600000US4827000,"Fort Worth, Texas",place,rate,36.30685997082985,2006,Arson,"Fort Worth, TX"
1600000US4827000--2008--Robbery--count,1600000US4827000,"Fort Worth, Texas",place,count,1706.0,2008,Robbery,"Fort Worth, TX"
1600000US4827000--2012--All Crimes--count,1600000US4827000,"Fort Worth, Texas",place,count,74194.0,2012,All Crimes,"Fort Worth, TX"
1600000US4827000--2006--Violent crime--count,1600000US4827000,"Fort Worth, Texas",place,count,4209.0,2006,Violent crime,"Fort Worth, TX"
1600000US4827000--2006--Aggravated assault--count,1600000US4827000,"Fort Worth, Texas",place,count,2496.0,2006,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2012--Motor vehicle theft--count,1600000US4827000,"Fort Worth, Texas",place,count,2424.0,2012,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2006--Property crime--count,1600000US4827000,"Fort Worth, Texas",place,count,36473.0,2006,Property crime,"Fort Worth, TX"
1600000US4827000--2006--Murder and nonnegligent manslaughter--count,1600000US4827000,"Fort Worth, Texas",place,count,49.0,2006,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2008--Forcible rape--count,1600000US4827000,"Fort Worth, Texas",place,count,350.0,2008,Forcible rape,"Fort Worth, TX"
1600000US4827000--2007--All Crimes--rate,1600000US4827000,"Fort Worth, Texas",place,rate,12306.226544782783,2007,All Crimes,"Fort Worth, TX"
1600000US4827000--2010--Aggravated assault--rate,1600000US4827000,"Fort Worth, Texas",place,rate,345.91182329827325,2010,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2013--Rape (revised definition)--count,1600000US4827000,"Fort Worth, Texas",place,count,523.0,2013,Rape (revised definition),"Fort Worth, TX"
1600000US4827000--2010--Arson--rate,1600000US4827000,"Fort Worth, Texas",place,rate,18.48792858836627,2010,Arson,"Fort Worth, TX"
1600000US4827000--2008--Motor vehicle theft--rate,1600000US4827000,"Fort Worth, Texas",place,rate,391.3908276240652,2008,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2010--All Crimes--rate,1600000US4827000,"Fort Worth, Texas",place,rate,10570.808096640958,2010,All Crimes,"Fort Worth, TX"
1600000US4827000--2011--Robbery--count,1600000US4827000,"Fort Worth, Texas",place,count,1267.0,2011,Robbery,"Fort Worth, TX"
1600000US4827000--2010--Burglary--rate,1600000US4827000,"Fort Worth, Texas",place,rate,1252.8920881043578,2010,Burglary,"Fort Worth, TX"
1600000US4827000--2013--Motor vehicle theft--count,1600000US4827000,"Fort Worth, Texas",place,count,2399.0,2013,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2012--Aggravated assault--count,1600000US4827000,"Fort Worth, Texas",place,count,2809.0,2012,Aggravated assault,"Fort Worth, TX"
1600000US4827000--2008--Violent crime--count,1600000US4827000,"Fort Worth, Texas",place,count,4601.0,2008,Violent crime,"Fort Worth, TX"
1600000US4827000--2007--Murder and nonnegligent manslaughter--rate,1600000US4827000,"Fort Worth, Texas",place,rate,8.647771782320675,2007,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2009--Murder and nonnegligent manslaughter--rate,1600000US4827000,"Fort Worth, Texas",place,rate,6.081917905166312,2009,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2007--Robbery--count,1600000US4827000,"Fort Worth, Texas",place,count,1620.0,2007,Robbery,"Fort Worth, TX"
1600000US4827000--2011--Forcible rape--rate,1600000US4827000,"Fort Worth, Texas",place,rate,46.24717396733365,2011,Forcible rape,"Fort Worth, TX"
1600000US4827000--2008--Violent crime--rate,1600000US4827000,"Fort Worth, Texas",place,rate,656.025208706129,2008,Violent crime,"Fort Worth, TX"
1600000US4827000--2009--Motor vehicle theft--rate,1600000US4827000,"Fort Worth, Texas",place,rate,294.696567586695,2009,Motor vehicle theft,"Fort Worth, TX"
1600000US4827000--2009--Larceny--rate,1600000US4827000,"Fort Worth, Texas",place,rate,3257.143489030432,2009,Larceny,"Fort Worth, TX"
1600000US4827000--2013--Rape (revised definition)--rate,1600000US4827000,"Fort Worth, Texas",place,rate,66.28349819716489,2013,Rape (revised definition),"Fort Worth, TX"
1600000US4827000--2012--Burglary--rate,1600000US4827000,"Fort Worth, Texas",place,rate,1096.2198464876683,2012,Burglary,"Fort Worth, TX"
1600000US4827000--2009--Murder and nonnegligent manslaughter--count,1600000US4827000,"Fort Worth, Texas",place,count,44.0,2009,Murder and nonnegligent manslaughter,"Fort Worth, TX"
1600000US4827000--2010--Violent crime--count,1600000US4827000,"Fort Worth, Texas",place,count,4293.0,2010,Violent crime,"Fort Worth, TX"
1600000US4827000--2011--All Crimes--count,1600000US4827000,"Fort Worth, Texas",place,count,79515.0,2011,All Crimes,"Fort Worth, TX"
1600000US4827000--2008--Arson--count,1600000US4827000,"Fort Worth, Texas",place,count,216.0,2008,Arson,"Fort Worth, TX"
