name,type,variable,value,year,crime_type,key,id,place_name
"Norfolk, Virginia",place,rate,3917.386412,2014,Property crime,,,
"Norfolk, Virginia",place,rate,3918.882702,2008,Larceny,,,
"Norfolk, Virginia",place,rate,4216.132065,2009,Larceny,,,
"Norfolk, Virginia",place,rate,4305.425032,2010,Larceny,,,
"Norfolk, Virginia",place,rate,4371.964756,2013,Property crime,,,
"Norfolk, Virginia",place,rate,4643.644798,2012,Property crime,,,
"Norfolk, Virginia",place,rate,4987.065985,2006,Property crime,,,
"Norfolk, Virginia",place,rate,4988.929769,2011,Property crime,,,
"Norfolk, Virginia",place,rate,5053.904512,2007,Property crime,,,
"Norfolk, Virginia",place,rate,5187.882604,2008,Property crime,,,
"Norfolk, Virginia",place,rate,5504.111069,2009,Property crime,,,
"Norfolk, Virginia",place,rate,5621.102093,2010,Property crime,,,
"Norfolk, Virginia",place,count,6972,2018,Larceny,,,
"Norfolk, Virginia",place,count,7318,2017,Larceny,,,
"Norfolk, Virginia",place,rate,185.004075,2015,Robbery,,,
"Norfolk, Virginia",place,count,7864,2014,Larceny,,,
"Norfolk, Virginia",place,count,7918,2016,Larceny,,,
"Norfolk, Virginia",place,count,8006,2013,Larceny,,,
"Norfolk, Virginia",place,count,8403,2012,Larceny,,,
"Norfolk, Virginia",place,count,454,2015,Robbery,,,
"Norfolk, Virginia",place,count,8463,2018,Property crime,,,
"Norfolk, Virginia",place,count,8797,2007,Larceny,,,
"Norfolk, Virginia",place,rate,8881.001141,2014,All Crimes,,,
"Norfolk, Virginia",place,rate,541.5647922,2015,Violent crime,,,
"Norfolk, Virginia",place,count,9032,2006,Larceny,,,
"Norfolk, Virginia",place,rate,9150.544898,2016,All Crimes,,,
"Norfolk, Virginia",place,count,9192,2017,Property crime,,,
"Norfolk, Virginia",place,count,9212,2008,Larceny,,,
"Norfolk, Virginia",place,count,9217,2011,Larceny,,,
"Norfolk, Virginia",place,count,9617,2016,Property crime,,,
"Norfolk, Virginia",place,count,9679,2014,Property crime,,,
"Norfolk, Virginia",place,rate,9908.088458,2013,All Crimes,,,
"Norfolk, Virginia",place,count,9912,2009,Larceny,,,
"Norfolk, Virginia",place,count,10079,2010,Larceny,,,
"Norfolk, Virginia",place,rate,10396.93766,2012,All Crimes,,,
"Norfolk, Virginia",place,count,10812,2013,Property crime,,,
"Norfolk, Virginia",place,rate,11152.44359,2011,All Crimes,,,
"Norfolk, Virginia",place,count,11391,2012,Property crime,,,
"Norfolk, Virginia",place,count,11518,2007,Property crime,,,
"Norfolk, Virginia",place,rate,11580.85254,2006,All Crimes,,,
"Norfolk, Virginia",place,count,11683,2006,Property crime,,,
"Norfolk, Virginia",place,rate,11812.04284,2007,All Crimes,,,
"Norfolk, Virginia",place,rate,12059.96588,2008,All Crimes,,,
"Norfolk, Virginia",place,count,12195,2008,Property crime,,,
"Norfolk, Virginia",place,count,12258,2011,Property crime,,,
"Norfolk, Virginia",place,rate,12337.88606,2009,All Crimes,,,
"Norfolk, Virginia",place,rate,12498.07774,2010,All Crimes,,,
"Norfolk, Virginia",place,count,12940,2009,Property crime,,,
"Norfolk, Virginia",place,count,13159,2010,Property crime,,,
"Norfolk, Virginia",place,count,1329,2015,Violent crime,,,
"Norfolk, Virginia",place,count,21943,2014,All Crimes,,,
"Norfolk, Virginia",place,count,22486,2016,All Crimes,,,
"Norfolk, Virginia",place,count,24503,2013,All Crimes,,,
"Norfolk, Virginia",place,count,25504,2012,All Crimes,,,
"Norfolk, Virginia",place,count,26920,2007,All Crimes,,,
"Norfolk, Virginia",place,count,27130,2006,All Crimes,,,
"Norfolk, Virginia",place,count,27402,2011,All Crimes,,,
"Norfolk, Virginia",place,count,28349,2008,All Crimes,,,
"Norfolk, Virginia",place,count,29006,2009,All Crimes,,,
"Norfolk, Virginia",place,count,29258,2010,All Crimes,,,
"Norfolk, Virginia",place,rate,107860.9518,2018,All Crimes,,,
"Norfolk, Virginia",place,rate,108612.9124,2017,All Crimes,,,
"Norfolk, Virginia",place,count,263555,2018,All Crimes,,,
"Norfolk, Virginia",place,count,266308,2017,All Crimes,,,
